,datetime,description,icon
0,2026-04-21,Partly cloudy throughout the day.,partly-cloudy-day
1,2026-04-22,Partly cloudy throughout the day.,partly-cloudy-day
2,2026-04-23,Partly cloudy throughout the day.,partly-cloudy-day
3,2026-04-24,Partly cloudy throughout the day.,partly-cloudy-day
4,2026-04-25,Partly cloudy throughout the day.,partly-cloudy-day
5,2026-04-26,Partly cloudy throughout the day.,partly-cloudy-day
6,2026-04-27,Partly cloudy throughout the day.,partly-cloudy-day
7,2026-04-28,Partly cloudy throughout the day with a chance of rain.,rain
