,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,Boston,2026-04-21,8.9,0.0,4.5,7.1,-4.1,1.7,-5.6,49.8,0.0,4.0,0.0,,0,0,24.1,13.0,60.0,1025.6,33.3,16.2,302.6,26.3,9,10,2026-04-21T05:54:00,2026-04-21T19:32:54,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
1,Boston,2026-04-22,8.9,3.9,6.4,7.1,0.4,4.1,1.7,72.1,1.0,22.0,25.0,rain,0,0,27.7,14.8,189.1,1020.1,81.2,11.3,55.4,4.7,2,10,2026-04-22T05:52:29,2026-04-22T19:34:02,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,Boston,2026-04-23,13.9,5.0,9.3,13.9,3.9,8.6,2.5,65.8,0.0,14.0,0.0,,0,0,31.3,16.6,319.2,1011.8,57.2,15.3,232.6,20.1,6,10,2026-04-23T05:50:59,2026-04-23T19:35:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,Boston,2026-04-24,12.0,5.9,8.8,12.0,4.4,7.9,0.0,54.8,0.0,9.0,0.0,,0,0,20.9,12.2,20.7,1011.0,32.3,24.1,308.6,26.6,8,10,2026-04-24T05:49:30,2026-04-24T19:36:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,Boston,2026-04-25,11.1,5.2,8.0,11.1,4.0,7.3,1.3,63.4,0.0,21.0,0.0,,0,0,20.9,11.9,81.7,1013.2,40.3,24.1,307.9,26.5,7,10,2026-04-25T05:48:02,2026-04-25T19:37:24,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,Boston,2026-04-26,12.5,6.0,9.0,12.5,5.7,8.6,3.1,67.6,0.0,25.0,0.0,,0,0,22.3,13.7,80.2,1017.8,61.7,24.1,297.5,25.7,7,10,2026-04-26T05:46:35,2026-04-26T19:38:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,Boston,2026-04-27,13.8,6.3,9.7,13.8,5.3,9.1,4.6,71.7,2.9,21.0,4.17,rain,0,0,22.3,13.7,75.5,1025.1,54.4,24.1,192.3,16.6,5,10,2026-04-27T05:45:09,2026-04-27T19:39:38,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,Boston,2026-04-28,14.1,4.4,9.3,14.1,3.6,8.5,4.3,73.1,19.5,45.2,4.17,rain,0,0,28.1,15.5,108.5,1027.2,31.3,24.1,229.8,19.7,8,10,2026-04-28T05:43:44,2026-04-28T19:40:45,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
